check_id,check,observed,expected,absolute_error,tolerance,status,software_version
ROB-01,local front slope,1.9999999999999996,2.0,4.440892098500626e-16,1e-12,Verified,1.4.2
ROB-02,local front curvature,0.02000000000000252,0.02,2.518818487118324e-15,1e-12,Verified,1.4.2
ROB-03,local front curvature length,199.99999999997476,200.0,2.523847797419876e-11,1e-09,Verified,1.4.2
ROB-04,grid boundary errors strictly decrease,1.0,1.0,0.0,0.0,Verified,1.4.2
ROB-05,grid slope errors strictly decrease,1.0,1.0,0.0,0.0,Verified,1.4.2
ROB-06,domain boundary errors strictly decrease,1.0,1.0,0.0,0.0,Verified,1.4.2
ROB-07,history-cutoff errors strictly decrease,1.0,1.0,0.0,0.0,Verified,1.4.2
ROB-08,grid-to-reference-width ratio,0.1,0.1,0.0,1e-15,Verified,1.4.2
ROB-09,reference-to-source-width ratio,0.15811388300841897,0.15811388300841897,0.0,1e-15,Verified,1.4.2
ROB-10,dynamic selector width,1.0,1.0,0.0,0.0,Verified,1.4.2
ROB-11,source-to-curvature ratio,0.01581138830084389,0.0158113883008419,1.9914625504213745e-15,1e-14,Verified,1.4.2
ROB-12,zero-spread layer is inactive with infinite limiting width,1.0,1.0,0.0,0.0,Verified,1.4.2
ROB-13,appendix displacement nonlinearity ratio,0.0025000000000003153,0.0025,3.152859917587847e-16,1e-15,Verified,1.4.2
ROB-14,regularized lattice-moment errors strictly decrease,1.0,1.0,0.0,0.0,Verified,1.4.2
ROB-15,finite-domain moment is within one percent of the continuum value,1.0,1.0,0.0,0.0,Verified,1.4.2
