experiment,schedule_id,impact_type,measurement_domain,x_coordinate,x_value,mean_signed_log_mid_impact,standard_error,active_observation_fraction,software_version
single_trade,not_applicable,own,operational_gaussian,lag_seconds,0.0,0.14707420531925813,0.00043365390027119135,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,0.5,0.12854908658575934,0.000762883087566949,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,1.0,0.11985738459838237,0.0005033071288649114,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,2.0,0.1071037734044324,0.00019995913388440182,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,5.0,0.08231275312785336,0.00010406272716012021,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,10.0,0.0613450232511533,5.141718144132721e-05,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,20.0,0.04143818584876367,1.4002301880574314e-05,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,40.0,0.025245253743304746,1.7079580094693268e-06,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,80.0,0.015882661968562858,1.5289851216154379e-06,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,120.0,0.013683408428467618,6.167130105615991e-07,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,160.0,0.01301358148278827,1.4819917658646036e-06,1.0,2.1.0-r13
single_trade,not_applicable,own,operational_gaussian,lag_seconds,200.0,0.012713556283584615,1.921921106526432e-06,1.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,0.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,0.5,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,1.0,0.0157642520552891,0.01032012547396078,0.125,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,2.0,0.04458851682982183,0.009731178250288906,0.375,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,5.0,0.04834862928805829,0.002607024009244805,0.5,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,10.0,0.07439969002731676,0.00716056918880983,0.875,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,20.0,0.061354707533256864,0.006805129713219925,1.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,40.0,0.029101440112343176,0.0006877322913909012,1.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,80.0,0.01680716451593122,0.00022351158009901984,1.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,120.0,0.013938187659355136,6.39934178889923e-05,1.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,160.0,0.013209589356041383,7.51105593792897e-05,1.0,2.1.0-r13
single_trade,not_applicable,own,poisson_previous_refresh,lag_seconds,200.0,0.012815329513423616,1.2280980694679474e-05,1.0,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,0.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,0.5,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,1.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,2.0,0.007424980393204952,0.0074249803932049515,0.0625,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,5.0,0.012752983803497127,0.008497941242645976,0.125,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,10.0,0.01645397139217871,0.008421103249250418,0.1875,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,20.0,0.016620305348947192,0.00748854382473955,0.25,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,40.0,0.022531778559073155,0.008009068475191224,0.5,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,80.0,0.023436529081772184,0.008252966430961845,0.6875,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,120.0,0.014014801973629023,0.0033550406601381977,0.75,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,160.0,0.014356140072830948,0.0031724361621347573,0.8125,2.1.0-r13
single_trade,not_applicable,own,mittag_leffler_previous_refresh,lag_seconds,200.0,0.01397668913033602,0.003148799030392994,0.8125,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,0.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,0.5,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,1.0,0.008250941078534229,0.008250941078534229,0.0625,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,2.0,0.008250941078534229,0.008250941078534229,0.0625,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,5.0,0.02127216725198213,0.010493096204091373,0.1875,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,10.0,0.03955280030065638,0.007039494849162604,0.5,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,20.0,0.04481802000397499,0.0038061839872011306,0.8125,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,40.0,0.03731572212883261,0.004490370802897395,0.9375,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,80.0,0.019229228245917426,0.003182670250221319,0.9375,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,120.0,0.01723546717176331,0.003142835132991189,1.0,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,160.0,0.01650221219940981,0.0031859823079895093,1.0,2.1.0-r13
single_trade,not_applicable,own,tempered_mittag_leffler_previous_refresh,lag_seconds,200.0,0.012973765024915013,8.1641814729158e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,0.0,0.0,0.0,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,0.5,0.0009189646067374557,2.6736275121604335e-06,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,1.0,0.001716448287263304,7.391077205625974e-06,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,2.0,0.003146218129960298,1.2852062652001119e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,5.0,0.006550213984347836,1.5101784347072495e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,10.0,0.010500887502466878,1.8891353713849717e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,20.0,0.015196769313715072,2.0056525591352524e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,40.0,0.018887093657735044,1.6698704081782604e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,80.0,0.01896228139368261,9.508772983072623e-06,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,120.0,0.017193215989197708,5.632492085534197e-06,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,160.0,0.015646714016481295,3.816050632216851e-06,1.0,2.1.0-r13
single_trade,not_applicable,cross,operational_gaussian,lag_seconds,200.0,0.01453948378981848,3.127796802770324e-06,1.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,0.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,0.5,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,1.0,0.000114519432467874,7.497056683248802e-05,0.125,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,2.0,0.0006443423947384657,0.00014064696198488142,0.375,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,5.0,0.002291976465436136,0.0003191277820872056,0.5,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,10.0,0.005614239935968492,0.0005975965103924463,0.875,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,20.0,0.011111819904529658,0.0011627877998796725,1.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,40.0,0.018087429849082244,0.000155116632011797,1.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,80.0,0.019176364324548743,4.537370993773835e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,120.0,0.01753468514014627,7.659933822719093e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,160.0,0.016136749252891235,0.00015587815646625196,1.0,2.1.0-r13
single_trade,not_applicable,cross,poisson_previous_refresh,lag_seconds,200.0,0.014928430599179678,4.6748227076521723e-05,1.0,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,0.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,0.5,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,1.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,2.0,0.0001056261245804286,0.00010562612458042858,0.0625,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,5.0,0.00048084271735607145,0.00037499433113238466,0.125,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,10.0,0.001143245300194105,0.0006642864542771289,0.1875,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,20.0,0.002600650764635434,0.0011984686935948047,0.25,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,40.0,0.007457446861568857,0.0020936766880995735,0.5,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,80.0,0.0112630443752855,0.002740497053569435,0.6875,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,120.0,0.013178051170102827,0.002342086607251381,0.75,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,160.0,0.01359487065025288,0.0022388180464756905,0.8125,2.1.0-r13
single_trade,not_applicable,cross,mittag_leffler_previous_refresh,lag_seconds,200.0,0.012644892282198056,0.0020881667331372066,0.8125,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,0.0,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,0.5,0.0,0.0,0.0,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,1.0,5.7744795510768676e-05,5.774479551076866e-05,0.0625,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,2.0,5.7744795510768676e-05,5.774479551076866e-05,0.0625,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,5.0,0.00048592326981162506,0.0002752700957239476,0.1875,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,10.0,0.0036803603319306402,0.0009951238939554553,0.5,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,20.0,0.009768964593770269,0.0015272857499168194,0.8125,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,40.0,0.01469320079014096,0.0010612415177654118,0.9375,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,80.0,0.01745361721138568,0.0012532265009241855,0.9375,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,120.0,0.017150038556978286,0.0005033861398934394,1.0,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,160.0,0.015906008520430476,0.00043092115068060695,1.0,2.1.0-r13
single_trade,not_applicable,cross,tempered_mittag_leffler_previous_refresh,lag_seconds,200.0,0.015364079857537823,0.00022002104665055211,1.0,2.1.0-r13
meta_order_trajectory,fast,own,operational_gaussian,cumulative_quantity,0.05,0.14129133450634584,0.0016146135256408511,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,operational_gaussian,cumulative_quantity,0.1,0.1994794834768346,1.2894814340115566e-06,see_archive,2.1.0-r13
meta_order_trajectory,fast,own,operational_gaussian,cumulative_quantity,0.15000000000000002,0.2985967624513385,1.716976544251577e-05,see_archive,2.1.0-r13
