record_type,record_index,grid_points,delta_u,book_one_displacement,initial_spread,exponential_rate_per_model_time_unit,local_drift_rate_per_model_time_unit,exponential_rate_relative_error,local_rate_relative_error,rate_measurement_relative_difference,exponential_log_ratio_rmse,local_drift_rmse,projection_relative_residual,maximum_absolute_pair_center_drift,minimum_boundary_edge_distance,maximum_boundary_candidates,sign_preserved,receiving_sign_correct,software_version
primary_signed_perturbation,0,201,0.0049999999999999645,-0.01,-0.019997223787174893,2.515293138074867,2.4995793873791436,0.006117255229946749,0.0001682450483425413,0.006285500278289291,8.978888498245949e-06,1.961321809183106e-06,0.0,2.11148373091552e-15,9.990001388106391,1,True,True,1.7.7
primary_signed_perturbation,1,201,0.0049999999999999645,-0.02,-0.03998889668995752,2.5149027327889075,2.4991792148348693,0.0059610931155630095,0.0003283140660522932,0.006289407181615303,1.482930644178349e-05,5.569701035742679e-06,0.0,2.017917083430021e-15,9.980005551655001,1,True,True,1.7.7
primary_signed_perturbation,2,201,0.0049999999999999645,-0.04,-0.07995559908475901,2.5143423373061635,2.4986216702034874,0.005736934922465409,0.0005513319186050581,0.0062882668410704666,1.7912066276135903e-05,1.2646255558608625e-05,0.0,2.0907754694210468e-15,9.9600222004576,1,True,True,1.7.7
primary_signed_perturbation,3,201,0.0049999999999999645,-0.06,-0.11990012565640995,2.5140754514060744,2.4983873939901886,0.005630180562429743,0.0006450424039245561,0.006275222966354299,9.904658460872075e-06,1.20682369571218e-05,0.0,2.1571286423771596e-15,9.940049937171775,1,True,True,1.7.7
primary_signed_perturbation,4,201,0.0049999999999999645,0.01,0.019997223787174893,2.515293138074867,2.4995793873791436,0.006117255229946749,0.0001682450483425413,0.006285500278289291,8.978888498245949e-06,1.961321809183106e-06,0.0,2.11148373091552e-15,9.990001388106391,1,True,True,1.7.7
primary_signed_perturbation,5,201,0.0049999999999999645,0.02,0.03998889668995752,2.5149027327889075,2.4991792148348693,0.0059610931155630095,0.0003283140660522932,0.006289407181615303,1.482930644178349e-05,5.569701035742679e-06,0.0,2.017917083430021e-15,9.980005551655001,1,True,True,1.7.7
primary_signed_perturbation,6,201,0.0049999999999999645,0.04,0.07995559908475901,2.5143423373061635,2.4986216702034874,0.005736934922465409,0.0005513319186050581,0.0062882668410704666,1.7912066276135903e-05,1.2646255558608625e-05,0.0,2.0907754694210468e-15,9.9600222004576,1,True,True,1.7.7
primary_signed_perturbation,7,201,0.0049999999999999645,0.06,0.11990012565640995,2.5140754514060744,2.4983873939901886,0.005630180562429743,0.0006450424039245561,0.006275222966354299,9.904658460872075e-06,1.20682369571218e-05,0.0,2.1571286423771596e-15,9.940049937171775,1,True,True,1.7.7
grid_convergence,0,101,0.019999999999999858,0.02,0.03997785061690959,2.562746957948692,2.498319583020193,0.025098783179476846,0.0006721667919228125,0.02577094997139966,3.921775054704447e-05,1.5968808114677762e-05,0.0,3.391384395534658e-16,9.980011074691541,1,True,True,1.7.7
grid_convergence,1,201,0.0049999999999999645,0.02,0.03998889668995752,2.5149027327889075,2.4991792148348693,0.0059610931155630095,0.0003283140660522932,0.006289407181615303,1.482930644178349e-05,5.569701035742679e-06,0.0,2.017917083430021e-15,9.980005551655001,1,True,True,1.7.7
grid_convergence,2,401,0.0012500000000000356,0.02,0.039994444374150076,2.503563170493004,2.499655003541274,0.001425268197201568,0.00013799858349035078,0.0015632667806919187,4.3381374457479345e-06,1.5716072648215074e-06,0.0,3.51316198354823e-14,9.980002777812592,1,True,True,1.7.7
