path_index,book_index,stream_id,input_rate_per_second,measured_rate_per_second,retained_waits,supported_horizon_seconds,software_version
0,0,v1.8.3-path-00-book-1,0.1,0.09032937982370001,65,700.0,1.8.3
0,1,v1.8.3-path-00-book-2,0.1,0.09401928775304609,67,700.0,1.8.3
1,0,v1.8.3-path-01-book-1,0.1,0.10218677654295523,74,700.0,1.8.3
1,1,v1.8.3-path-01-book-2,0.1,0.10264948032778964,72,700.0,1.8.3
2,0,v1.8.3-path-02-book-1,0.1,0.09751841600133153,73,700.0,1.8.3
2,1,v1.8.3-path-02-book-2,0.1,0.09976820217489724,72,700.0,1.8.3
3,0,v1.8.3-path-03-book-1,0.1,0.11952660058717594,84,700.0,1.8.3
3,1,v1.8.3-path-03-book-2,0.1,0.11506203521224477,81,700.0,1.8.3
4,0,v1.8.3-path-04-book-1,0.1,0.09401928775304609,67,700.0,1.8.3
4,1,v1.8.3-path-04-book-2,0.1,0.09032937982370001,65,700.0,1.8.3
5,0,v1.8.3-path-05-book-1,0.1,0.10264948032778964,72,700.0,1.8.3
5,1,v1.8.3-path-05-book-2,0.1,0.10218677654295523,74,700.0,1.8.3
6,0,v1.8.3-path-06-book-1,0.1,0.09976820217489724,72,700.0,1.8.3
6,1,v1.8.3-path-06-book-2,0.1,0.09751841600133153,73,700.0,1.8.3
7,0,v1.8.3-path-07-book-1,0.1,0.11506203521224477,81,700.0,1.8.3
7,1,v1.8.3-path-07-book-2,0.1,0.11952660058717594,84,700.0,1.8.3
