measurement_domain,bin_index,standardized_return_lower,standardized_return_upper,standardized_return_centre,estimated_density,fixed_standard_normal_density,sample_count,unstandardized_sample_mean,unstandardized_sample_standard_deviation,reference_status,software_version
operational,0,-6.0,-5.7073170731707314,-5.853658536585366,0.0,1.4464077651965064e-08,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,1,-5.7073170731707314,-5.414634146341464,-5.560975609756097,0.0,7.686898180437272e-08,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,2,-5.414634146341464,-5.121951219512195,-5.2682926829268295,0.0,3.7498026849955574e-07,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,3,-5.121951219512195,-4.829268292682927,-4.975609756097561,0.0,1.6790460458255437e-06,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,4,-4.829268292682927,-4.536585365853659,-4.682926829268293,0.0,6.901026582570289e-06,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,5,-4.536585365853659,-4.2439024390243905,-4.390243902439025,0.0,2.6035246726877082e-05,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,6,-4.2439024390243905,-3.951219512195122,-4.097560975609756,0.0,9.015848357637832e-05,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,7,-3.951219512195122,-3.658536585365854,-3.8048780487804876,0.0,0.00028658166572969457,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,8,-3.658536585365854,-3.3658536585365857,-3.51219512195122,0.0,0.0008361556144345638,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,9,-3.3658536585365857,-3.073170731707317,-3.2195121951219514,0.0,0.0022393538367318257,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,10,-3.073170731707317,-2.780487804878049,-2.926829268292683,0.0,0.0055049735360724284,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,11,-2.780487804878049,-2.487804878048781,-2.634146341463415,0.0,0.012421803454681104,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,12,-2.487804878048781,-2.1951219512195124,-2.3414634146341466,0.0,0.02572829308850558,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,13,-2.1951219512195124,-1.9024390243902438,-2.048780487804878,0.00783639143730886,0.04891411485503702,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,14,-1.9024390243902438,-1.6097560975609762,-1.75609756097561,0.08424120795107026,0.08535998437500054,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,15,-1.6097560975609762,-1.3170731707317076,-1.4634146341463419,0.19982798165137597,0.13673237525859186,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,16,-1.3170731707317076,-1.024390243902439,-1.1707317073170733,0.3976968654434247,0.20104130420767566,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,17,-1.024390243902439,-0.7317073170731714,-0.8780487804878052,0.45059250764525954,0.27132894807536007,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,18,-0.7317073170731714,-0.43902439024390283,-0.5853658536585371,0.3173738532110089,0.33612736628589057,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,19,-0.43902439024390283,-0.14634146341463428,-0.29268292682926855,0.07444571865443418,0.3822156958019895,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,20,-0.14634146341463428,0.1463414634146334,-4.440892098500626e-16,0.35263761467889876,0.3989422804014327,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,21,0.1463414634146334,0.43902439024390194,0.29268292682926766,0.07444571865443418,0.3822156958019896,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,22,0.43902439024390194,0.7317073170731705,0.5853658536585362,0.3173738532110089,0.33612736628589074,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,23,0.7317073170731705,1.0243902439024382,0.8780487804878043,0.45059250764525954,0.27132894807536023,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,24,1.0243902439024382,1.3170731707317067,1.1707317073170724,0.3976968654434247,0.20104130420767588,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,25,1.3170731707317067,1.6097560975609753,1.463414634146341,0.19982798165137597,0.13673237525859205,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,26,1.6097560975609753,1.9024390243902438,1.7560975609756095,0.08424120795107026,0.0853599843750006,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,27,1.9024390243902438,2.1951219512195124,2.048780487804878,0.00783639143730886,0.04891411485503702,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,28,2.1951219512195124,2.487804878048779,2.3414634146341458,0.0,0.025728293088505636,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,29,2.487804878048779,2.7804878048780477,2.6341463414634134,0.0,0.01242180345468116,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,30,2.7804878048780477,3.0731707317073162,2.926829268292682,0.0,0.005504973536072442,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,31,3.0731707317073162,3.365853658536585,3.2195121951219505,0.0,0.0022393538367318313,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,32,3.365853658536585,3.6585365853658534,3.512195121951219,0.0,0.000836155614434566,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,33,3.6585365853658534,3.951219512195122,3.8048780487804876,0.0,0.00028658166572969457,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,34,3.951219512195122,4.2439024390243905,4.097560975609756,0.0,9.015848357637832e-05,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,35,4.2439024390243905,4.536585365853657,4.390243902439024,0.0,2.6035246726877173e-05,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
operational,36,4.536585365853657,4.829268292682926,4.6829268292682915,0.0,6.90102658257035e-06,1744,1.2413617534512931e-17,0.0471992460183669,fixed_standard_normal_not_fitted,1.8.3
