measurement_domain,quantile_index,probability,fixed_standard_normal_quantile,empirical_standardized_return_quantile,sample_count,reference_status,software_version
operational,0,0.01,-2.3263478740408408,-1.7415769745010872,1744,fixed_standard_normal_not_fitted,1.8.3
operational,1,0.0296,-1.8867051099724252,-1.5863304294591736,1744,fixed_standard_normal_not_fitted,1.8.3
operational,2,0.0492,-1.6526603903079105,-1.4648168109602016,1744,fixed_standard_normal_not_fitted,1.8.3
operational,3,0.0688,-1.4847879686497152,-1.394102588985352,1744,fixed_standard_normal_not_fitted,1.8.3
operational,4,0.08839999999999999,-1.350673639581101,-1.302682748043031,1744,fixed_standard_normal_not_fitted,1.8.3
operational,5,0.108,-1.2372345991628273,-1.2242138288544044,1744,fixed_standard_normal_not_fitted,1.8.3
operational,6,0.1276,-1.1378095891304392,-1.1741656665782467,1744,fixed_standard_normal_not_fitted,1.8.3
operational,7,0.1472,-1.0485180294966427,-1.1230876648735117,1744,fixed_standard_normal_not_fitted,1.8.3
operational,8,0.1668,-0.9668880522656621,-1.0922753616579275,1744,fixed_standard_normal_not_fitted,1.8.3
operational,9,0.1864,-0.8912408008676285,-1.0610477520083599,1744,fixed_standard_normal_not_fitted,1.8.3
operational,10,0.20600000000000002,-0.8203791459684606,-1.014798836124579,1744,fixed_standard_normal_not_fitted,1.8.3
operational,11,0.2256,-0.7534159518148675,-0.9757705642458044,1744,fixed_standard_normal_not_fitted,1.8.3
operational,12,0.2452,-0.6896727596991077,-0.9289260983854856,1744,fixed_standard_normal_not_fitted,1.8.3
operational,13,0.2648,-0.6286167374378782,-0.8864614873427432,1744,fixed_standard_normal_not_fitted,1.8.3
operational,14,0.2844,-0.5698196890956568,-0.8482175977511511,1744,fixed_standard_normal_not_fitted,1.8.3
operational,15,0.304,-0.5129304106147282,-0.8028834074043957,1744,fixed_standard_normal_not_fitted,1.8.3
operational,16,0.3236,-0.4576554489294859,-0.7610161340784207,1744,fixed_standard_normal_not_fitted,1.8.3
operational,17,0.3432,-0.4037453329153643,-0.7168370632483211,1744,fixed_standard_normal_not_fitted,1.8.3
operational,18,0.3628,-0.3509844690820791,-0.6715455514176953,1744,fixed_standard_normal_not_fitted,1.8.3
operational,19,0.3824,-0.29918354998931324,-0.6256129664563711,1744,fixed_standard_normal_not_fitted,1.8.3
operational,20,0.402,-0.24817371845931258,-0.5668021359686313,1744,fixed_standard_normal_not_fitted,1.8.3
