figure_id,aggregation_scale,aggregation_unit,curve_type,mechanism,normalized_correlation,absolute_correlation,uncertainty,uncertainty_type,parameter_profile,software_version,scenario,clock_rate,response_rate,alpha_clock,alpha_response
F1,0.001,clock characteristic time,analytic,clock,0.0004998333749916681,0.0004998333749916681,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001039122303835169,clock characteristic time,analytic,clock,0.0005193812361314887,0.0005193812361314887,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0010797751623277093,clock characteristic time,analytic,clock,0.0005396933145409566,0.0005396933145409566,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001122018454301963,clock characteristic time,analytic,clock,0.000560799465091466,0.000560799465091466,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0011659144011798323,clock characteristic time,analytic,clock,0.0005827307072132637,0.0005827307072132637,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001211527658628589,clock characteristic time,analytic,clock,0.0006055192701801548,0.0006055192701801548,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0012589254117941675,clock characteristic time,analytic,clock,0.0006291986401466554,0.0006291986401466554,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0013081774742601943,clock characteristic time,analytic,clock,0.0006538036090016908,0.0006538036090016908,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0013593563908785254,clock characteristic time,analytic,clock,0.0006793703251065653,0.0006793703251065653,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001412537544622754,clock characteristic time,analytic,clock,0.0007059363459915868,0.0007059363459915868,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001467799267622069,clock characteristic time,analytic,clock,0.0007335406930855104,0.0007335406930855104,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0015252229565390183,clock characteristic time,analytic,clock,0.0007622239085521842,0.0007622239085521842,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001584893192461114,clock characteristic time,analytic,clock,0.0007920281143174446,0.0007920281143174446,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0016468978654828688,clock characteristic time,analytic,clock,0.0008229970733685255,0.0008229970733685255,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001711328304161781,clock characteristic time,analytic,clock,0.0008551762534099172,0.0008551762534099172,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0017782794100389228,clock characteristic time,analytic,clock,0.0008886128929683768,0.0008886128929683768,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.0018478497974222907,clock characteristic time,analytic,clock,0.0009233560700339094,0.0009233560700339094,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001920141938638801,clock characteristic time,analytic,clock,0.0009594567733395287,0.0009594567733395287,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.001995262314968879,clock characteristic time,analytic,clock,0.00099696797637161,0.00099696797637161,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
F1,0.002073321573485954,clock characteristic time,analytic,clock,0.0010359447142190836,0.0010359447142190836,,not_applicable_deterministic,lambda=1;kappa=0.25;rho_inf=1,1.0.0,response_to_clock_rate_0.25,1.0,0.25,1.0,1.0
