figure_id,aggregation_scale,aggregation_unit,scenario,mechanism,sensitivity_parameter,local_elasticity,clock_rate,response_rate,software_version
F2,0.001,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9996667222185182,1.0,0.25,1.0.0
F2,0.001039122303835169,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9996536860645666,1.0,0.25,1.0.0
F2,0.0010797751623277093,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.99964013963518,1.0,0.25,1.0.0
F2,0.001122018454301963,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9996260637894698,1.0,0.25,1.0.0
F2,0.0011659144011798323,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9996114374873651,1.0,0.25,1.0.0
F2,0.001211527658628589,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9995962388405651,1.0,0.25,1.0.0
F2,0.0012589254117941675,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9995804463652297,1.0,0.25,1.0.0
F2,0.0013081774742601943,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.999564035861769,1.0,0.25,1.0.0
F2,0.0013593563908785254,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9995469839773949,1.0,0.25,1.0.0
F2,0.001412537544622754,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.999529264923917,1.0,0.25,1.0.0
F2,0.001467799267622069,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9995108533103079,1.0,0.25,1.0.0
F2,0.0015252229565390183,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.999491721591363,1.0,0.25,1.0.0
F2,0.001584893192461114,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9994718417867594,1.0,0.25,1.0.0
F2,0.0016468978654828688,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9994511847505186,1.0,0.25,1.0.0
F2,0.001711328304161781,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9994297199097899,1.0,0.25,1.0.0
F2,0.0017782794100389228,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9994074157814548,1.0,0.25,1.0.0
F2,0.0018478497974222907,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9993842396987053,1.0,0.25,1.0.0
F2,0.001920141938638801,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9993601575277128,1.0,0.25,1.0.0
F2,0.001995262314968879,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9993351337331874,1.0,0.25,1.0.0
F2,0.002073321573485954,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9993091315387014,1.0,0.25,1.0.0
F2,0.0021544346900318843,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.999282112894143,1.0,0.25,1.0.0
F2,0.00223872113856834,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9992540380059758,1.0,0.25,1.0.0
F2,0.0023263050671536263,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9992248655923709,1.0,0.25,1.0.0
F2,0.0024173154808041037,clock characteristic time,response_to_clock_rate_0.25,clock,clock_rate,0.9991945527866255,1.0,0.25,1.0.0
