figure_id,aggregation_scale,aggregation_unit,curve_type,mechanism,alpha_clock,alpha_response,alpha_sum,clock_characteristic_time,response_characteristic_time,normalized_correlation,software_version
F3,0.001,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0004998333749916681,1.0.0
F3,0.001039122303835169,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0005193812361314887,1.0.0
F3,0.0010797751623277093,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0005396933145409566,1.0.0
F3,0.001122018454301963,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.000560799465091466,1.0.0
F3,0.0011659144011798323,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0005827307072132637,1.0.0
F3,0.001211527658628589,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0006055192701801548,1.0.0
F3,0.0012589254117941675,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0006291986401466554,1.0.0
F3,0.0013081774742601943,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0006538036090016908,1.0.0
F3,0.0013593563908785254,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0006793703251065653,1.0.0
F3,0.001412537544622754,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0007059363459915868,1.0.0
F3,0.001467799267622069,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0007335406930855104,1.0.0
F3,0.0015252229565390183,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0007622239085521842,1.0.0
F3,0.001584893192461114,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0007920281143174446,1.0.0
F3,0.0016468978654828688,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0008229970733685255,1.0.0
F3,0.001711328304161781,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0008551762534099172,1.0.0
F3,0.0017782794100389228,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0008886128929683768,1.0.0
F3,0.0018478497974222907,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0009233560700339094,1.0.0
F3,0.001920141938638801,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0009594567733395287,1.0.0
F3,0.001995262314968879,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.00099696797637161,1.0.0
F3,0.002073321573485954,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0010359447142190836,1.0.0
F3,0.0021544346900318843,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0010764441633641653,1.0.0
F3,0.00223872113856834,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0011185257245265312,1.0.0
F3,0.0023263050671536263,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0011622511086742948,1.0.0
F3,0.0024173154808041037,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0012076844263193554,1.0.0
F3,0.0025118864315095794,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0012548922802212426,1.0.0
F3,0.0026101572156825357,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0013039438616225807,1.0.0
F3,0.0027122725793320298,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.001354911050150398,1.0.0
F3,0.002818382931264455,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0014078685175159533,1.0.0
F3,0.0029286445646252374,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0014628938351549658,1.0.0
F3,0.003043219887107722,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.001520067585952134,1.0.0
F3,0.0031622776601683794,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0015794734802003774,1.0.0
F3,0.003285993247600654,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0016411984759479026,1.0.0
F3,0.003414548873833601,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.001705332903895851,1.0.0
F3,0.0035481338923357532,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.001771970597009842,1.0.0
F3,0.0036869450645195733,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0018412090250161661,1.0.0
F3,0.003831186849557289,clock characteristic time,analytic_fractional,clock,1.0,1.0,2.0,1.0,1.0,0.0019131494339605926,1.0.0
