figure_id,aggregation_scale,aggregation_unit,mechanism,varied_parameter,perturbation_factor,clock_rate,response_rate,coupling_strength,source_amplitude,source_width,front_slope_abs,normalized_correlation,software_version
F4,0.001,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.00024995833854114585,1.0.0
F4,0.001039122303835169,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.00025973559117026745,1.0.0
F4,0.0010797751623277093,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0002698952173714067,1.0.0
F4,0.001122018454301963,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.00028045216570614026,1.0.0
F4,0.0011659144011798323,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0002914219686990278,1.0.0
F4,0.001211527658628589,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.00030282076561507956,1.0.0
F4,0.0012589254117941675,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.00031466532612287236,1.0.0
F4,0.0013081774742601943,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0003269730748775225,1.0.0
F4,0.0013593563908785254,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.00033976211705903566,1.0.0
F4,0.001412537544622754,clock characteristic time,coupling,coupling_strength,0.5,1.0,0.49999999999999994,0.5641895835477563,1.0,1.0,1.0,0.0003530512649029026,1.0.0
