figure_id,panel,scenario,selector_resolution_ratio_sqrt_epsilon_over_dx,epsilon,lattice_spacing,alignment_offset_cells,requested_domain_halfwidth,realised_domain_halfwidth,grid_nodes,moment_ratio,effective_response_rate,aggregation_scale,mechanism,normalized_correlation,lower_envelope,upper_envelope,software_version
F5,moment_ratio,centred_full,0.5,0.0625,0.5,0.0,6.0,6.0,25,0.9999999999999989,0.9999999999999988,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,0.5,0.0625,0.5,0.5,6.0,6.0,25,0.9615521440630038,0.9615521440630037,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,0.5,0.0625,0.5,0.0,1.5,1.5,7,0.902396292907622,0.9023962929076219,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,1.0,0.25,0.5,0.0,6.0,6.0,25,0.9999999999999989,0.9999999999999988,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,1.0,0.25,0.5,0.5,6.0,6.0,25,0.8967784654239683,0.8967784654239682,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,1.0,0.25,0.5,0.0,1.5,1.5,7,0.902396292907622,0.9023962929076219,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,2.0,1.0,0.5,0.0,6.0,6.0,25,0.9999999999999989,0.9999999999999988,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,2.0,1.0,0.5,0.5,6.0,6.0,25,0.9528474128287012,0.9528474128287011,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,2.0,1.0,0.5,0.0,1.5,1.5,7,0.902396292907622,0.9023962929076219,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,4.0,4.0,0.5,0.0,6.0,6.0,25,0.9999999999999991,0.999999999999999,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,4.0,4.0,0.5,0.5,6.0,6.0,25,0.9875473219726544,0.9875473219726543,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,4.0,4.0,0.5,0.0,1.5,1.5,7,0.9023962929076221,0.902396292907622,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,8.0,16.0,0.5,0.0,6.0,6.0,25,0.9999999999999989,0.9999999999999988,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,8.0,16.0,0.5,0.5,6.0,6.0,25,0.9968757423941531,0.996875742394153,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,8.0,16.0,0.5,0.0,1.5,1.5,7,0.9023962929076221,0.902396292907622,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,0.5,0.015625,0.25,0.0,6.0,6.0,49,0.9999999999999998,0.9999999999999997,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,0.5,0.015625,0.25,0.5,6.0,6.0,49,0.9986974141886608,0.9986974141886606,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,0.5,0.015625,0.25,0.0,1.5,1.5,13,0.8499300781199126,0.8499300781199125,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,1.0,0.0625,0.25,0.0,6.0,6.0,49,0.9999999999999998,0.9999999999999997,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,1.0,0.0625,0.25,0.5,6.0,6.0,49,0.9820005432959044,0.9820005432959042,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,1.0,0.0625,0.25,0.0,1.5,1.5,13,0.8499300781199126,0.8499300781199125,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,2.0,0.25,0.25,0.0,6.0,6.0,49,0.9999999999999999,0.9999999999999998,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,2.0,0.25,0.25,0.5,6.0,6.0,49,0.9484626091863456,0.9484626091863455,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,2.0,0.25,0.25,0.0,1.5,1.5,13,0.8499300781199126,0.8499300781199125,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,4.0,1.0,0.25,0.0,6.0,6.0,49,0.9999999999999998,0.9999999999999997,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,4.0,1.0,0.25,0.5,6.0,6.0,49,0.9764113750723312,0.9764113750723311,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,4.0,1.0,0.25,0.0,1.5,1.5,13,0.8499300781199126,0.8499300781199125,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,8.0,4.0,0.25,0.0,6.0,6.0,49,0.9999999999999998,0.9999999999999997,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,8.0,4.0,0.25,0.5,6.0,6.0,49,0.9937734204941338,0.9937734204941336,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,8.0,4.0,0.25,0.0,1.5,1.5,13,0.8499300781199125,0.8499300781199124,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,0.5,0.00390625,0.125,0.0,6.0,6.0,97,0.9999999999999993,0.9999999999999992,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,0.5,0.00390625,0.125,0.5,6.0,6.0,97,0.9999928017498458,0.9999928017498457,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,0.5,0.00390625,0.125,0.0,1.5,1.5,25,0.8199954274329795,0.8199954274329794,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,1.0,0.015625,0.125,0.0,6.0,6.0,97,0.9999999999999993,0.9999999999999992,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,1.0,0.015625,0.125,0.5,6.0,6.0,97,0.9991649927888168,0.9991649927888167,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,1.0,0.015625,0.125,0.0,1.5,1.5,25,0.8199954274329794,0.8199954274329793,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,2.0,0.0625,0.125,0.0,6.0,6.0,97,0.9999999999999993,0.9999999999999992,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,2.0,0.0625,0.125,0.5,6.0,6.0,97,0.9913571892364041,0.991357189236404,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,2.0,0.0625,0.125,0.0,1.5,1.5,25,0.8199954274329794,0.8199954274329793,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,4.0,0.25,0.125,0.0,6.0,6.0,97,0.9999999999999993,0.9999999999999992,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,4.0,0.25,0.125,0.5,6.0,6.0,97,0.9742409042549052,0.9742409042549051,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,4.0,0.25,0.125,0.0,1.5,1.5,25,0.8199954274329794,0.8199954274329793,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,8.0,1.0,0.125,0.0,6.0,6.0,97,0.9999999999999993,0.9999999999999992,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,8.0,1.0,0.125,0.5,6.0,6.0,97,0.9882041450343361,0.988204145034336,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,8.0,1.0,0.125,0.0,1.5,1.5,25,0.8199954274329794,0.8199954274329793,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,0.5,0.0009765625,0.0625,0.0,6.0,6.0,193,0.999999999999999,0.9999999999999989,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,0.5,0.0009765625,0.0625,0.5,6.0,6.0,193,0.9999999984848404,0.9999999984848403,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,0.5,0.0009765625,0.0625,0.0,1.5,1.5,49,0.8041438025812699,0.8041438025812698,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,1.0,0.00390625,0.0625,0.0,6.0,6.0,193,0.999999999999999,0.9999999999999989,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,1.0,0.00390625,0.0625,0.5,6.0,6.0,193,0.999978395063709,0.9999783950637089,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,1.0,0.00390625,0.0625,0.0,1.5,1.5,49,0.8041438025812699,0.8041438025812698,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,2.0,0.015625,0.0625,0.0,6.0,6.0,193,0.999999999999999,0.9999999999999989,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,2.0,0.015625,0.0625,0.5,6.0,6.0,193,0.9996310346754217,0.9996310346754216,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,2.0,0.015625,0.0625,0.0,1.5,1.5,49,0.8041438025812699,0.8041438025812698,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,4.0,0.0625,0.0625,0.0,6.0,6.0,193,0.9999999999999989,0.9999999999999988,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,4.0,0.0625,0.0625,0.5,6.0,6.0,193,0.9957237986939066,0.9957237986939065,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,4.0,0.0625,0.0625,0.0,1.5,1.5,49,0.8041438025812698,0.8041438025812697,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_full,8.0,0.25,0.0625,0.0,6.0,6.0,193,0.9999999999999988,0.9999999999999987,,boundary_moment,,,,1.0.0
F5,moment_ratio,half_cell_shifted_full,8.0,0.25,0.0625,0.5,6.0,6.0,193,0.9871216655007145,0.9871216655007143,,boundary_moment,,,,1.0.0
F5,moment_ratio,centred_truncated,8.0,0.25,0.0625,0.0,1.5,1.5,49,0.8041438025812699,0.8041438025812698,,boundary_moment,,,,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001,coupling,0.000499833374991668,0.00040196414841117006,0.000499833374991668,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001039122303835169,coupling,0.0005193812361314887,0.00041768553240856233,0.0005193812361314887,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0010797751623277093,coupling,0.0005396933145409566,0.0004340216238641238,0.0005396933145409566,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001122018454301963,coupling,0.000560799465091466,0.00045099644369332785,0.000560799465091466,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0011659144011798323,coupling,0.0005827307072132637,0.00046863495034407535,0.0005827307072132637,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001211527658628589,coupling,0.0006055192701801548,0.0004869630762980691,0.0006055192701801548,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0012589254117941675,coupling,0.0006291986401466554,0.0005060077659860829,0.0006291986401466554,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0013081774742601943,coupling,0.0006538036090016908,0.0005257970151714142,0.0006538036090016908,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0013593563908785254,coupling,0.0006793703251065653,0.0005463599118574747,0.0006793703251065653,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001412537544622754,coupling,0.0007059363459915868,0.0005677266787784685,0.0007059363459915868,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001467799267622069,coupling,0.0007335406930855104,0.0005899287175322732,0.0007335406930855104,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0015252229565390183,coupling,0.0007622239085521842,0.000612998654420327,0.0007622239085521842,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001584893192461114,coupling,0.0007920281143174446,0.0006369703880584332,0.0007920281143174446,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0016468978654828688,coupling,0.0008229970733685255,0.0006618791388249834,0.0008229970733685255,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001711328304161781,coupling,0.0008551762534099172,0.0006877615002187643,0.0008551762534099172,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0017782794100389228,coupling,0.0008886128929683768,0.0007146554921972914,0.0008886128929683768,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0018478497974222907,coupling,0.0009233560700339094,0.0007426006165723864,0.0009233560700339094,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001920141938638801,coupling,0.0009594567733395287,0.0007716379145388252,0.0009594567733395287,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.001995262314968879,coupling,0.00099696797637161,0.0008018100264196582,0.00099696797637161,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.002073321573485954,coupling,0.0010359447142190836,0.000833161253709469,0.0010359447142190836,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0021544346900318843,coupling,0.0010764441633641653,0.0008657376235049474,0.0010764441633641653,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.00223872113856834,coupling,0.0011185257245265312,0.0008995869554107028,0.0011185257245265312,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0023263050671536263,coupling,0.0011622511086742948,0.0009347589310146898,0.0011622511086742948,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0024173154808041037,coupling,0.0012076844263193554,0.0009713051660303895,0.0012076844263193554,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0025118864315095794,coupling,0.0012548922802212426,0.0010092792852047783,0.0012548922802212426,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0026101572156825357,coupling,0.0013039438616225807,0.0010487370000963336,0.0013039438616225807,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0027122725793320298,coupling,0.001354911050150398,0.0010897361898322133,0.001354911050150398,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.002818382931264455,coupling,0.0014078685175159533,0.0011323369849514098,0.0014078685175159533,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0029286445646252374,coupling,0.0014628938351549658,0.0011766018544553392,0.0014628938351549658,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.003043219887107722,coupling,0.001520067585952134,0.0012225956961801066,0.001520067585952134,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.0031622776601683794,coupling,0.0015794734802003774,0.0012703859306159027,0.0015794734802003774,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.003285993247600654,coupling,0.0016411984759479026,0.0013200425983017627,0.0016411984759479026,1.0.0
F5,epps_envelope,all_discrete_representation_profiles,,,,,,,,,0.9999999999999999,0.003414548873833601,coupling,0.001705332903895851,0.0013716384609275822,0.001705332903895851,1.0.0
