measurement_domain,sign_convention,lag_index,lag_seconds,mean_signed_flow_autocorrelation,standard_error_across_paths,primary_figure_convention,software_version
uniform_operational,ground_truth_aggressor,0,0.0,1.0,0.0,True,2.1.0
uniform_operational,ground_truth_aggressor,1,5.0,0.15935099847728687,0.005738659769867045,True,2.1.0
uniform_operational,ground_truth_aggressor,2,10.0,0.10356483407370623,0.009141613326638043,True,2.1.0
uniform_operational,ground_truth_aggressor,3,15.0,0.0847230045957144,0.007346696949935202,True,2.1.0
uniform_operational,ground_truth_aggressor,4,20.0,0.07444435785590309,0.004554123072385555,True,2.1.0
uniform_operational,ground_truth_aggressor,5,25.0,0.05923348375567715,0.0061896632600318986,True,2.1.0
uniform_operational,ground_truth_aggressor,6,30.0,0.04505836299618096,0.006074398574656747,True,2.1.0
uniform_operational,ground_truth_aggressor,7,35.0,0.026439958692017974,0.00963709698814406,True,2.1.0
uniform_operational,ground_truth_aggressor,8,40.0,0.03447878250550044,0.003716019004608057,True,2.1.0
uniform_operational,ground_truth_aggressor,9,45.0,0.023014421254362854,0.006720329418659678,True,2.1.0
uniform_operational,ground_truth_aggressor,10,50.0,0.023670847558094343,0.005289712161731282,True,2.1.0
uniform_operational,ground_truth_aggressor,11,55.0,0.004431055611229047,0.004805457551473008,True,2.1.0
uniform_operational,ground_truth_aggressor,12,60.0,-0.007758848555131297,0.009976659992809573,True,2.1.0
uniform_operational,ground_truth_aggressor,13,65.0,-0.024088250651792494,0.009334849993712735,True,2.1.0
uniform_operational,ground_truth_aggressor,14,70.0,-0.010721461569801987,0.0070378919347419,True,2.1.0
uniform_operational,ground_truth_aggressor,15,75.0,-0.021097383083960457,0.007605632538407286,True,2.1.0
uniform_operational,ground_truth_aggressor,16,80.0,-0.030988889364730095,0.009614628939472668,True,2.1.0
uniform_operational,ground_truth_aggressor,17,85.0,-0.03251583110785865,0.009437370052381305,True,2.1.0
uniform_operational,ground_truth_aggressor,18,90.0,-0.02494613166520148,0.004303862897705866,True,2.1.0
uniform_operational,ground_truth_aggressor,19,95.0,-0.029105897857955327,0.006588108513185379,True,2.1.0
uniform_operational,ground_truth_aggressor,20,100.0,-0.018691079528923404,0.007762925716811263,True,2.1.0
uniform_operational,ground_truth_aggressor,21,105.0,-0.019940707803699873,0.00857370818393003,True,2.1.0
uniform_operational,ground_truth_aggressor,22,110.0,-0.02518575556779451,0.004702888807648914,True,2.1.0
uniform_operational,ground_truth_aggressor,23,115.0,-0.011423565075291083,0.01072105076651911,True,2.1.0
uniform_operational,ground_truth_aggressor,24,120.0,-0.012090576405488176,0.010186661817814465,True,2.1.0
uniform_operational,ground_truth_aggressor,25,125.0,0.013417661257874719,0.0057378564046582006,True,2.1.0
uniform_operational,ground_truth_aggressor,26,130.0,0.005444749003444282,0.0056205968077826145,True,2.1.0
uniform_operational,ground_truth_aggressor,27,135.0,-0.006049500436618322,0.006956514716772932,True,2.1.0
uniform_operational,ground_truth_aggressor,28,140.0,-0.009055752742693383,0.00773831075876316,True,2.1.0
uniform_operational,ground_truth_aggressor,29,145.0,-0.0018388781936268988,0.011019462757310567,True,2.1.0
uniform_operational,ground_truth_aggressor,30,150.0,-0.02445854353944199,0.009038732931177339,True,2.1.0
uniform_operational,ground_truth_aggressor,31,155.0,-0.011388586313965627,0.008577202946365907,True,2.1.0
uniform_operational,ground_truth_aggressor,32,160.0,0.007250661519400405,0.005595594021100283,True,2.1.0
uniform_operational,ground_truth_aggressor,33,165.0,0.00690351318576128,0.007121133097901963,True,2.1.0
uniform_operational,ground_truth_aggressor,34,170.0,0.006143521608823594,0.009760563748815535,True,2.1.0
uniform_operational,ground_truth_aggressor,35,175.0,0.014889576051748243,0.011795673895365578,True,2.1.0
uniform_operational,ground_truth_aggressor,36,180.0,0.011107499507049036,0.010198500473292378,True,2.1.0
uniform_operational,ground_truth_aggressor,37,185.0,0.00027651578378078015,0.011391112426270224,True,2.1.0
uniform_operational,ground_truth_aggressor,38,190.0,0.005566170384949965,0.012218001878898257,True,2.1.0
uniform_operational,ground_truth_aggressor,39,195.0,0.00312027391393792,0.007894622389781975,True,2.1.0
uniform_operational,ground_truth_aggressor,40,200.0,0.00632854144070921,0.009205592711908217,True,2.1.0
uniform_operational,quote_midpoint,0,0.0,1.0,0.0,False,2.1.0
uniform_operational,quote_midpoint,1,5.0,0.15935099847728687,0.005738659769867045,False,2.1.0
uniform_operational,quote_midpoint,2,10.0,0.10356483407370623,0.009141613326638043,False,2.1.0
uniform_operational,quote_midpoint,3,15.0,0.0847230045957144,0.007346696949935202,False,2.1.0
uniform_operational,quote_midpoint,4,20.0,0.07444435785590309,0.004554123072385555,False,2.1.0
uniform_operational,quote_midpoint,5,25.0,0.05923348375567715,0.0061896632600318986,False,2.1.0
uniform_operational,quote_midpoint,6,30.0,0.04505836299618096,0.006074398574656747,False,2.1.0
uniform_operational,quote_midpoint,7,35.0,0.026439958692017974,0.00963709698814406,False,2.1.0
uniform_operational,quote_midpoint,8,40.0,0.03447878250550044,0.003716019004608057,False,2.1.0
uniform_operational,quote_midpoint,9,45.0,0.023014421254362854,0.006720329418659678,False,2.1.0
uniform_operational,quote_midpoint,10,50.0,0.023670847558094343,0.005289712161731282,False,2.1.0
uniform_operational,quote_midpoint,11,55.0,0.004431055611229047,0.004805457551473008,False,2.1.0
uniform_operational,quote_midpoint,12,60.0,-0.007758848555131297,0.009976659992809573,False,2.1.0
uniform_operational,quote_midpoint,13,65.0,-0.024088250651792494,0.009334849993712735,False,2.1.0
uniform_operational,quote_midpoint,14,70.0,-0.010721461569801987,0.0070378919347419,False,2.1.0
uniform_operational,quote_midpoint,15,75.0,-0.021097383083960457,0.007605632538407286,False,2.1.0
uniform_operational,quote_midpoint,16,80.0,-0.030988889364730095,0.009614628939472668,False,2.1.0
uniform_operational,quote_midpoint,17,85.0,-0.03251583110785865,0.009437370052381305,False,2.1.0
uniform_operational,quote_midpoint,18,90.0,-0.02494613166520148,0.004303862897705866,False,2.1.0
uniform_operational,quote_midpoint,19,95.0,-0.029105897857955327,0.006588108513185379,False,2.1.0
uniform_operational,quote_midpoint,20,100.0,-0.018691079528923404,0.007762925716811263,False,2.1.0
uniform_operational,quote_midpoint,21,105.0,-0.019940707803699873,0.00857370818393003,False,2.1.0
uniform_operational,quote_midpoint,22,110.0,-0.02518575556779451,0.004702888807648914,False,2.1.0
uniform_operational,quote_midpoint,23,115.0,-0.011423565075291083,0.01072105076651911,False,2.1.0
uniform_operational,quote_midpoint,24,120.0,-0.012090576405488176,0.010186661817814465,False,2.1.0
uniform_operational,quote_midpoint,25,125.0,0.013417661257874719,0.0057378564046582006,False,2.1.0
uniform_operational,quote_midpoint,26,130.0,0.005444749003444282,0.0056205968077826145,False,2.1.0
uniform_operational,quote_midpoint,27,135.0,-0.006049500436618322,0.006956514716772932,False,2.1.0
uniform_operational,quote_midpoint,28,140.0,-0.009055752742693383,0.00773831075876316,False,2.1.0
uniform_operational,quote_midpoint,29,145.0,-0.0018388781936268988,0.011019462757310567,False,2.1.0
uniform_operational,quote_midpoint,30,150.0,-0.02445854353944199,0.009038732931177339,False,2.1.0
uniform_operational,quote_midpoint,31,155.0,-0.011388586313965627,0.008577202946365907,False,2.1.0
uniform_operational,quote_midpoint,32,160.0,0.007250661519400405,0.005595594021100283,False,2.1.0
uniform_operational,quote_midpoint,33,165.0,0.00690351318576128,0.007121133097901963,False,2.1.0
uniform_operational,quote_midpoint,34,170.0,0.006143521608823594,0.009760563748815535,False,2.1.0
uniform_operational,quote_midpoint,35,175.0,0.014889576051748243,0.011795673895365578,False,2.1.0
uniform_operational,quote_midpoint,36,180.0,0.011107499507049036,0.010198500473292378,False,2.1.0
uniform_operational,quote_midpoint,37,185.0,0.00027651578378078015,0.011391112426270224,False,2.1.0
uniform_operational,quote_midpoint,38,190.0,0.005566170384949965,0.012218001878898257,False,2.1.0
uniform_operational,quote_midpoint,39,195.0,0.00312027391393792,0.007894622389781975,False,2.1.0
uniform_operational,quote_midpoint,40,200.0,0.00632854144070921,0.009205592711908217,False,2.1.0
uniform_operational,legacy_tick_rule,0,0.0,1.0,0.0,False,2.1.0
uniform_operational,legacy_tick_rule,1,5.0,0.15218650674070705,0.005767190187204192,False,2.1.0
uniform_operational,legacy_tick_rule,2,10.0,0.0959849781212986,0.008290537810147916,False,2.1.0
uniform_operational,legacy_tick_rule,3,15.0,0.08245877088097364,0.005306695557599104,False,2.1.0
uniform_operational,legacy_tick_rule,4,20.0,0.07746394393940272,0.006405157650927904,False,2.1.0
uniform_operational,legacy_tick_rule,5,25.0,0.0592603493721021,0.0074189694030739285,False,2.1.0
uniform_operational,legacy_tick_rule,6,30.0,0.04313578301096345,0.005676288631779626,False,2.1.0
uniform_operational,legacy_tick_rule,7,35.0,0.030217392220336523,0.008611337853640292,False,2.1.0
uniform_operational,legacy_tick_rule,8,40.0,0.0362552091645507,0.004837126943649244,False,2.1.0
uniform_operational,legacy_tick_rule,9,45.0,0.02280517484633163,0.007512009293863239,False,2.1.0
uniform_operational,legacy_tick_rule,10,50.0,0.027627008990658623,0.006080253419253248,False,2.1.0
uniform_operational,legacy_tick_rule,11,55.0,0.010601278257637346,0.0056258545396332205,False,2.1.0
uniform_operational,legacy_tick_rule,12,60.0,-0.003270725171362845,0.009128803631829961,False,2.1.0
uniform_operational,legacy_tick_rule,13,65.0,-0.011876413977858784,0.008614111689137184,False,2.1.0
uniform_operational,legacy_tick_rule,14,70.0,-0.009234357980199356,0.005836029518325435,False,2.1.0
uniform_operational,legacy_tick_rule,15,75.0,-0.019648910017849294,0.0040902875633388935,False,2.1.0
uniform_operational,legacy_tick_rule,16,80.0,-0.02898017885708257,0.010728696913778686,False,2.1.0
uniform_operational,legacy_tick_rule,17,85.0,-0.027311131341961073,0.005029768852584514,False,2.1.0
uniform_operational,legacy_tick_rule,18,90.0,-0.024856510103790874,0.0047709034787441545,False,2.1.0
uniform_operational,legacy_tick_rule,19,95.0,-0.03113721580319465,0.007511769103199875,False,2.1.0
uniform_operational,legacy_tick_rule,20,100.0,-0.011013352167047064,0.007563642459177835,False,2.1.0
uniform_operational,legacy_tick_rule,21,105.0,-0.011854561668289635,0.008835804588766353,False,2.1.0
uniform_operational,legacy_tick_rule,22,110.0,-0.018719188311445006,0.005862991982106805,False,2.1.0
uniform_operational,legacy_tick_rule,23,115.0,-0.008772033910986514,0.010561177276050356,False,2.1.0
uniform_operational,legacy_tick_rule,24,120.0,-0.011373454216890191,0.008328429219446105,False,2.1.0
uniform_operational,legacy_tick_rule,25,125.0,0.009872468448265155,0.005931982158234177,False,2.1.0
uniform_operational,legacy_tick_rule,26,130.0,0.006091800956738776,0.006167590022366481,False,2.1.0
uniform_operational,legacy_tick_rule,27,135.0,-0.007523419960651635,0.004931264539021526,False,2.1.0
uniform_operational,legacy_tick_rule,28,140.0,-0.007871180612726045,0.007510988824954155,False,2.1.0
uniform_operational,legacy_tick_rule,29,145.0,0.004875630324429708,0.012407309955556636,False,2.1.0
uniform_operational,legacy_tick_rule,30,150.0,-0.02816809725492828,0.00755817641809208,False,2.1.0
uniform_operational,legacy_tick_rule,31,155.0,-0.01008731651547998,0.006662341381521799,False,2.1.0
uniform_operational,legacy_tick_rule,32,160.0,0.01656042772205587,0.005660774886183489,False,2.1.0
uniform_operational,legacy_tick_rule,33,165.0,0.009093981168795937,0.0067224747696072,False,2.1.0
uniform_operational,legacy_tick_rule,34,170.0,-0.0011775283341898817,0.007890858766639123,False,2.1.0
uniform_operational,legacy_tick_rule,35,175.0,0.007193966934823473,0.011302343660333183,False,2.1.0
uniform_operational,legacy_tick_rule,36,180.0,0.008852630136619707,0.011600001526838436,False,2.1.0
uniform_operational,legacy_tick_rule,37,185.0,0.0016628934010773752,0.012302084729439337,False,2.1.0
uniform_operational,legacy_tick_rule,38,190.0,0.009266079699052347,0.012539435695702483,False,2.1.0
uniform_operational,legacy_tick_rule,39,195.0,0.010609577661629356,0.007825535478532887,False,2.1.0
uniform_operational,legacy_tick_rule,40,200.0,-0.001034716665126032,0.00948452369322623,False,2.1.0
previous_refresh_calendar,ground_truth_aggressor,0,0.0,1.0,0.0,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,1,5.0,0.02960454622587252,0.004810226890992937,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,2,10.0,0.041570763664140205,0.0036604895740394486,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,3,15.0,0.04991311255005847,0.00672677156929688,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,4,20.0,0.040061955907375046,0.005710764895979887,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,5,25.0,0.0380987361583296,0.005846057837238127,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,6,30.0,0.023222354193633818,0.007429438496353561,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,7,35.0,0.031199185660359032,0.009591873736658858,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,8,40.0,0.025686375000565757,0.007065871771479616,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,9,45.0,0.020482493078251,0.005809841751086916,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,10,50.0,-0.00034623735870855906,0.005973317693963382,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,11,55.0,0.002666166903032395,0.004320796025115749,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,12,60.0,-0.017878034215483174,0.008272501741940245,True,2.1.0
previous_refresh_calendar,ground_truth_aggressor,13,65.0,-0.012263125741767399,0.011525445679827977,True,2.1.0
