reference_design,comparison_design,measurement_domain,observable,metric,observed,criterion,status,software_version
extended_both,extended_horizon,uniform_operational,standardized_return_density,total_variation,0.007561436672967871,<= 0.1,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,normal_qq,maximum_central_difference,0.008258093651571818,<= 0.15,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,normal_qq,maximum_tail_difference,0.01500548710480576,<= 0.35,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,log_mid_increment_acf,rmse,0.010359268442349478,<= 0.05,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,log_mid_increment_acf,maximum_absolute_difference,0.026446939730719366,<= 0.15,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,absolute_increment_acf,rmse,0.010461324583781255,<= 0.05,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,absolute_increment_acf,maximum_absolute_difference,0.025316621178943635,<= 0.15,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,signed_flow_acf,rmse,0.011917575574318202,<= 0.05,Verified,2.1.0
extended_both,extended_horizon,uniform_operational,signed_flow_acf,maximum_absolute_difference,0.027905991362717597,<= 0.15,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,standardized_return_density,total_variation,0.01128308128544424,<= 0.1,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,normal_qq,maximum_central_difference,0.03729905461059102,<= 0.15,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,normal_qq,maximum_tail_difference,0.11693914568683494,<= 0.35,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,log_mid_increment_acf,rmse,0.007338562179867703,<= 0.05,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,log_mid_increment_acf,maximum_absolute_difference,0.015308588286602401,<= 0.15,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,absolute_increment_acf,rmse,0.00793503122780041,<= 0.05,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,absolute_increment_acf,maximum_absolute_difference,0.021708918811651816,<= 0.15,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,signed_flow_acf,rmse,0.007916339795763425,<= 0.05,Verified,2.1.0
extended_both,extended_horizon,previous_refresh_calendar,signed_flow_acf,maximum_absolute_difference,0.020722411844684065,<= 0.15,Verified,2.1.0
extended_both,both_doubled,uniform_operational,standardized_return_density,total_variation,0.015576009140531874,<= 0.1,Verified,2.1.0
extended_both,both_doubled,uniform_operational,normal_qq,maximum_central_difference,0.017937075778718836,<= 0.15,Verified,2.1.0
extended_both,both_doubled,uniform_operational,normal_qq,maximum_tail_difference,0.015149901455544512,<= 0.35,Verified,2.1.0
extended_both,both_doubled,uniform_operational,log_mid_increment_acf,rmse,0.013834317186183253,<= 0.05,Verified,2.1.0
extended_both,both_doubled,uniform_operational,log_mid_increment_acf,maximum_absolute_difference,0.030346029076197715,<= 0.15,Verified,2.1.0
extended_both,both_doubled,uniform_operational,absolute_increment_acf,rmse,0.013019882939244286,<= 0.05,Verified,2.1.0
extended_both,both_doubled,uniform_operational,absolute_increment_acf,maximum_absolute_difference,0.029819785157438466,<= 0.15,Verified,2.1.0
extended_both,both_doubled,uniform_operational,signed_flow_acf,rmse,0.012627053432859725,<= 0.05,Verified,2.1.0
extended_both,both_doubled,uniform_operational,signed_flow_acf,maximum_absolute_difference,0.029879050284021956,<= 0.15,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,standardized_return_density,total_variation,0.005145582329317281,<= 0.1,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,normal_qq,maximum_central_difference,0.02866479710679093,<= 0.15,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,normal_qq,maximum_tail_difference,0.06849645339669497,<= 0.35,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,log_mid_increment_acf,rmse,0.00869321213459643,<= 0.05,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,log_mid_increment_acf,maximum_absolute_difference,0.015157170260808086,<= 0.15,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,absolute_increment_acf,rmse,0.010924956036665275,<= 0.05,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,absolute_increment_acf,maximum_absolute_difference,0.021494042259631765,<= 0.15,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,signed_flow_acf,rmse,0.010685627364831364,<= 0.05,Verified,2.1.0
extended_both,both_doubled,previous_refresh_calendar,signed_flow_acf,maximum_absolute_difference,0.022897267360203755,<= 0.15,Verified,2.1.0
extended_horizon,leave_one_path_out,both,all_primary_acfs,maximum_absolute_difference,0.013160432076305108,<= 0.1,Verified,2.1.0
extended_both,leave_one_path_out,both,all_primary_acfs,maximum_absolute_difference,0.007765898135001319,<= 0.1,Verified,2.1.0
