measurement_domain,observable,lag_index,lag_seconds,mean_autocorrelation,standard_error_across_paths,normal_95_lower,normal_95_upper,effective_pairs_per_book_member,software_version
previous_refresh_calendar,log_mid_increment,0,0.0,1.0,0.0,1.0,1.0,529,2.1.0
previous_refresh_calendar,log_mid_increment,1,5.0,-0.011146469525900673,0.005094588864035025,-0.021131863699409323,-0.0011610753523920245,528,2.1.0
previous_refresh_calendar,log_mid_increment,2,10.0,-0.015311963034432836,0.0063803868963321075,-0.027817521351243768,-0.0028064047176219065,527,2.1.0
previous_refresh_calendar,log_mid_increment,3,15.0,-0.026318589134550326,0.006288257864753104,-0.03864357454946641,-0.013993603719634241,526,2.1.0
previous_refresh_calendar,log_mid_increment,4,20.0,-0.014063674873943818,0.008480498143599803,-0.03068545123539943,0.002558101487511795,525,2.1.0
previous_refresh_calendar,log_mid_increment,5,25.0,-0.023130544582912606,0.006269244776771976,-0.03541826434538568,-0.010842824820439533,524,2.1.0
previous_refresh_calendar,log_mid_increment,6,30.0,-0.02512416080869474,0.007985931594675656,-0.040776586734259025,-0.009471734883130453,523,2.1.0
previous_refresh_calendar,log_mid_increment,7,35.0,-0.004932800177124228,0.006716394228500503,-0.01809693286498521,0.008231332510736758,522,2.1.0
previous_refresh_calendar,log_mid_increment,8,40.0,-0.0012655126233471563,0.006721801974499036,-0.014440244493365267,0.011909219246670953,521,2.1.0
previous_refresh_calendar,log_mid_increment,9,45.0,-0.0031028812134966093,0.005337667924714152,-0.013564710345936348,0.007358947918943129,520,2.1.0
previous_refresh_calendar,log_mid_increment,10,50.0,-0.019761685173700964,0.007551864995749335,-0.03456334056536966,-0.004960029782032268,519,2.1.0
previous_refresh_calendar,log_mid_increment,11,55.0,-0.008490905907490257,0.010135624945178985,-0.028356730800041065,0.011374918985060552,518,2.1.0
previous_refresh_calendar,log_mid_increment,12,60.0,-0.008260522954761878,0.008044699852692995,-0.024028134666040146,0.0075070887565163915,517,2.1.0
