meta_order_id,schedule_id,path_index,event_book,side,child_index,operational_step,operational_time_seconds,quantity,cumulative_quantity,filled_quantity,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,applied_density_mass,software_version
v182-fast-p00-b1-s-1,fast,0,0,-1,0,301,150.5,0.05,0.05,0.05,0.010037942177333146,-0.24191125250067988,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-fast-p00-b1-s-1,fast,0,0,-1,1,311,155.5,0.05,0.1,0.05,-0.07273635813582265,-0.33683759929086815,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-fast-p00-b1-s-1,fast,0,0,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.1311067515773779,-0.4045193284629534,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p00-b1-s-1,fast,0,0,-1,3,331,165.5,0.05,0.2,0.05,-0.1770856802586347,-0.4544640692713382,"[98, 97, 96, 95, 94]",0.05,1.8.2
v182-fast-p00-b1-s+1,fast,0,0,1,0,301,150.5,0.05,0.05,0.05,0.010037942177333146,0.2649489381192179,"[101, 102, 103, 104]",0.05,1.8.2
v182-fast-p00-b1-s+1,fast,0,0,1,1,311,155.5,0.05,0.1,0.05,0.09803678004257013,0.3697182531431674,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p00-b1-s+1,fast,0,0,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.1641455661815538,0.43576118667983776,"[102, 103, 104, 105, 106]",0.05,1.8.2
v182-fast-p00-b1-s+1,fast,0,0,1,3,331,165.5,0.05,0.2,0.05,0.22062093822882575,0.4998903411351766,"[103, 104, 105, 106]",0.05000000000000001,1.8.2
v182-fast-p00-b2-s-1,fast,0,1,-1,0,301,150.5,0.05,0.05,0.05,0.004268437475811073,-0.25019154596532217,"[100, 99, 98, 97, 96]",0.05,1.8.2
v182-fast-p00-b2-s-1,fast,0,1,-1,1,311,155.5,0.05,0.1,0.05,-0.08076324169307414,-0.3478679056195999,"[99, 98, 97, 96, 95]",0.05,1.8.2
v182-fast-p00-b2-s-1,fast,0,1,-1,2,321,160.5,0.05,0.15000000000000002,0.05,-0.14395110788827598,-0.4152402447818494,"[98, 97, 96, 95]",0.05,1.8.2
v182-fast-p00-b2-s-1,fast,0,1,-1,3,331,165.5,0.05,0.2,0.05,-0.20278107047246893,-0.48358805917159353,"[97, 96, 95, 94]",0.05,1.8.2
v182-fast-p00-b2-s+1,fast,0,1,1,0,301,150.5,0.05,0.05,0.05,0.004268437475811073,0.25998718033081913,"[101, 102, 103, 104]",0.05,1.8.2
v182-fast-p00-b2-s+1,fast,0,1,1,1,311,155.5,0.05,0.1,0.05,0.08932123590100932,0.35898086380639666,"[101, 102, 103, 104, 105]",0.05,1.8.2
v182-fast-p00-b2-s+1,fast,0,1,1,2,321,160.5,0.05,0.15000000000000002,0.05,0.15052250040956072,0.42060102712428576,"[102, 103, 104, 105]",0.05,1.8.2
v182-fast-p00-b2-s+1,fast,0,1,1,3,331,165.5,0.05,0.2,0.05,0.19962962463794537,0.4802645755595039,"[102, 103, 104, 105, 106]",0.05,1.8.2
v182-slow-p00-b1-s-1,slow,0,0,-1,0,301,150.5,0.05,0.05,0.05,0.010037942177333146,-0.24191125250067988,"[100, 99, 98, 97, 96]",0.05,1.8.2
