target_id,measurement_domain,event_book,response_book,impact_type,lag_seconds,mean_signed_log_mid_impact,standard_error,normal_95_lower,normal_95_upper,mean_impact_per_unit_quantity,active_observation_fraction,paths,sides_per_path,event_quantity,software_version
S8-IMPACT-01,operational,0,0,own,0.0,0.14707420531925816,0.0004783430302849489,0.14613665297989967,0.14801175765861666,2.941484106385163,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,0.5,0.1285490865857595,0.0008625935693433827,0.12685840318984648,0.13023976998167253,2.57098173171519,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,1.0,0.11985738459838254,0.0005726384191572507,0.11873501329683432,0.12097975589993075,2.3971476919676507,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,2.0,0.10710377340443258,0.00022953184524001664,0.10665389098776215,0.10755365582110302,2.1420754680886516,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,5.0,0.08231275312785355,0.00011416982646506479,0.08208898026798202,0.08253652598772508,1.6462550625570709,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,10.0,0.061345023251153444,5.743771091661215e-05,0.06123244533775688,0.061457601164550006,1.2269004650230688,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,20.0,0.041438185848763784,1.6932103739611936e-05,0.041404998925434144,0.04147137277209342,0.8287637169752756,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,40.0,0.025245253743304816,2.3114676050584575e-06,0.025240723266798902,0.02524978421981073,0.5049050748660963,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,80.0,0.015882661968562875,1.7448729466474099e-06,0.015879242017587447,0.015886081919538303,0.3176532393712575,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,120.0,0.013683408428467622,6.922023029046754e-07,0.013682051711953929,0.013684765144981315,0.27366816856935244,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,160.0,0.013013581482788255,1.7194703636014203e-06,0.013010211320875596,0.013016951644700915,0.2602716296557651,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,0,own,200.0,0.012713556283584636,2.173595440722456e-06,0.01270929603652082,0.012717816530648452,0.2542711256716927,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,1.0,0.015764252055287704,0.015764252055287704,-0.015133681973076196,0.04666218608365161,0.31528504110575406,0.125,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,2.0,0.04458851682982086,0.021758011513094595,0.0019428142641554555,0.08723421939548626,0.8917703365964171,0.375,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,5.0,0.04834862928805746,0.018642279108907495,0.011809762234598765,0.08488749634151616,0.9669725857611491,0.5,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,10.0,0.07439969002731577,0.012321056331775042,0.05025041961703668,0.09854896043759484,1.4879938005463151,0.875,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,20.0,0.061354707533255975,0.008868891445553551,0.04397168029997102,0.07873773476654093,1.2270941506651194,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,40.0,0.029101440112343255,0.0014880332859109056,0.02618489487195788,0.03201798535272863,0.582028802246865,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,80.0,0.016807164515931252,0.00039068036973583073,0.016041430991249023,0.01757289804061348,0.336143290318625,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,120.0,0.013938187659355152,8.35136663317418e-05,0.013774500873344938,0.014101874445365365,0.278763753187103,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,160.0,0.013209589356041376,0.00010383892675030955,0.013006065059610768,0.013413113652471984,0.2641917871208275,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,calendar,0,0,own,200.0,0.012815329513423625,3.3458859930924724e-05,0.012749750147959012,0.012880908878888238,0.25630659026847247,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,0.5,0.0009189646067374524,2.961227644100879e-06,0.0009131606005550147,0.00092476861291989,0.018379292134749047,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,1.0,0.0017164482872633036,8.183042087804607e-06,0.0017004095247712067,0.0017324870497554005,0.03432896574526607,1.0,8,2,0.05,1.8.1
S8-IMPACT-01,operational,0,1,cross,2.0,0.0031462181299602996,1.43647706232514e-05,0.0031180631795387267,0.0031743730803818725,0.06292436259920599,1.0,8,2,0.05,1.8.1
