event_id,path_index,event_book,side,quantity,filled_quantity,pre_event_mid_log_price,execution_log_price_proxy,affected_grid_indices,applied_density_mass,ground_truth_aggressor_sign,quote_midpoint_sign,event_operational_step,event_operational_time_seconds,software_version
v181-p00-b1-s-1,0,0,-1,0.05,0.05,-0.019938255121975487,-0.27346685075544747,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p00-b1-s+1,0,0,1,0.05,0.05,-0.019938255121975487,0.22770277828198823,"[100, 101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p00-b2-s-1,0,1,-1,0.05,0.05,-0.013175556143072462,-0.2676477491701486,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p00-b2-s+1,0,1,1,0.05,0.05,-0.013175556143072462,0.23740798161276783,"[100, 101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p01-b1-s-1,1,0,-1,0.05,0.05,-0.007941397455695207,-0.2631452350238235,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p01-b1-s+1,1,0,1,0.05,0.05,-0.007941397455695207,0.24491961491058492,"[100, 101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p01-b2-s-1,1,1,-1,0.05,0.05,-0.00569892112600856,-0.26121661448337563,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p01-b2-s+1,1,1,1,0.05,0.05,-0.00569892112600856,0.2481378524374122,"[100, 101, 102, 103, 104]",0.04999999999999999,1,1,301,150.5,1.8.1
v181-p02-b1-s-1,2,0,-1,0.05,0.05,0.01993825512202399,-0.2277027782819168,"[100, 99, 98, 97, 96]",0.05000000000000001,-1,-1,301,150.5,1.8.1
v181-p02-b1-s+1,2,0,1,0.05,0.05,0.01993825512202399,0.27346685075549104,"[101, 102, 103, 104]",0.05,1,1,301,150.5,1.8.1
v181-p02-b2-s-1,2,1,-1,0.05,0.05,0.013175556143121003,-0.23740798161269633,"[100, 99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p02-b2-s+1,2,1,1,0.05,0.05,0.013175556143121003,0.2676477491701923,"[101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p03-b1-s-1,3,0,-1,0.05,0.05,0.007941397455744107,-0.24491961491051278,"[100, 99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p03-b1-s+1,3,0,1,0.05,0.05,0.007941397455744107,0.2631452350238673,"[101, 102, 103, 104]",0.05,1,1,301,150.5,1.8.1
v181-p03-b2-s-1,3,1,-1,0.05,0.05,0.005698921126057354,-0.2481378524373403,"[100, 99, 98, 97, 96]",0.05000000000000001,-1,-1,301,150.5,1.8.1
v181-p03-b2-s+1,3,1,1,0.05,0.05,0.005698921126057354,0.2612166144834194,"[101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p04-b1-s-1,4,0,-1,0.05,0.05,-0.013175556143072462,-0.2676477491701486,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p04-b1-s+1,4,0,1,0.05,0.05,-0.013175556143072462,0.23740798161276783,"[100, 101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p04-b2-s-1,4,1,-1,0.05,0.05,-0.019938255121975487,-0.27346685075544747,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p04-b2-s+1,4,1,1,0.05,0.05,-0.019938255121975487,0.22770277828198823,"[100, 101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p05-b1-s-1,5,0,-1,0.05,0.05,-0.00569892112600856,-0.26121661448337563,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p05-b1-s+1,5,0,1,0.05,0.05,-0.00569892112600856,0.2481378524374122,"[100, 101, 102, 103, 104]",0.04999999999999999,1,1,301,150.5,1.8.1
v181-p05-b2-s-1,5,1,-1,0.05,0.05,-0.007941397455695207,-0.2631452350238235,"[99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p05-b2-s+1,5,1,1,0.05,0.05,-0.007941397455695207,0.24491961491058492,"[100, 101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p06-b1-s-1,6,0,-1,0.05,0.05,0.013175556143121003,-0.23740798161269633,"[100, 99, 98, 97, 96]",0.05,-1,-1,301,150.5,1.8.1
v181-p06-b1-s+1,6,0,1,0.05,0.05,0.013175556143121003,0.2676477491701923,"[101, 102, 103, 104]",0.05000000000000001,1,1,301,150.5,1.8.1
v181-p06-b2-s-1,6,1,-1,0.05,0.05,0.01993825512202399,-0.2277027782819168,"[100, 99, 98, 97, 96]",0.05000000000000001,-1,-1,301,150.5,1.8.1
